features,Cluster.Index,M/Z,RT,Annotation,Cosine.Score,No..of.Shared.Peaks,Mass.Diff..to.Library.Reference,ppm.error,Analog?,Nearest.Neighbors,Proximity,CF_class,CF_Dparent,CF_kingdom,CF_MFramework,CF_subclass,CF_superclass,fch_147L_147V,fch_147L_147WG,fch_147L_165L,fch_147L_165V,fch_147L_165WG,fch_147L_291L,fch_147L_291V,fch_147L_291WG,fch_147V_147WG,fch_147V_165L,fch_147V_165V,fch_147V_165WG,fch_147V_291L,fch_147V_291V,fch_147V_291WG,fch_147WG_165L,fch_147WG_165V,fch_147WG_165WG,fch_147WG_291L,fch_147WG_291V,fch_147WG_291WG,fch_165L_165V,fch_165L_165WG,fch_165L_291L,fch_165L_291V,fch_165L_291WG,fch_165V_165WG,fch_165V_291L,fch_165V_291V,fch_165V_291WG,fch_165WG_291L,fch_165WG_291V,fch_165WG_291WG,fch_291L_291V,fch_291L_291WG,fch_291V_291WG
X783.5724_2.83_1420,1420,783.5724,2.83,"""(4R)-4-((3R,5S,7S,8R,9S,10S,12R,13R,17R)-3,7,12-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",0.781831,16,34.0096,41597.8,Yes,"""(R)-4-((3R,5S,7R,8R,9S,10S,12R,13R,14S,17R)-3,7,12-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",First Analog,Steroids and steroid derivatives,"Tetrahydroxy bile acids, alcohols and derivatives",Organic compounds,Aliphatic homopolycyclic compounds,"Bile acids, alcohols and derivatives",Lipids and lipid-like molecules,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA
X337.1747_2.39_1422,1422,337.1747,2.39,NA,NA,NA,NA,NA,No,Massbank:LU077002 3-Hydroxy-4-butyrophenetidide|Bucetin|N-(4-ethoxyphenyl)-3-hydroxybutanamide,First Analog,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Yes,Yes,NA,Yes,NA,NA,Yes,Yes,NA,Yes,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA
X815.5624_2.61_1424,1424,815.5624,2.61,NA,NA,NA,NA,NA,No,"""(R)-4-((3S,5S,7S,8R,9S,10S,12S,13R,14S,17R)-3,7,12-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Second Analog,Steroids and steroid derivatives,"Tetrahydroxy bile acids, alcohols and derivatives",Organic compounds,Aliphatic homopolycyclic compounds,"Bile acids, alcohols and derivatives",Lipids and lipid-like molecules,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA,NA,Yes,Yes,Yes,NA,NA,Yes,Yes
X336.3248_3.36_1427,1427,336.3248,3.36,"(2R,6S)-2-methyl-6-[(3Z)-pentadec-3-en-1-yl]piperidine",0.840828,7,27.9938,90791.4,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes
X975.4751_2.55_1429,1429,975.4751,2.55,NA,NA,NA,NA,NA,No,"""(4R)-4-((3R,5R,6S,7R,9S,10R,12S,13R,14S,17R)-3,6,7,12-tetrahydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Second,Steroids and steroid derivatives,"Tetrahydroxy bile acids, alcohols and derivatives",Organic compounds,Aliphatic homopolycyclic compounds,"Bile acids, alcohols and derivatives",Lipids and lipid-like molecules,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA
X233.1488_0.66_1435,1435,233.1488,0.66,Spectral Match to Thr-Leu from NIST14,0.908893,7,0.000198364,0.850805,No,Spectral Match to Thr-Leu from NIST14,First,Carboxylic acids and derivatives,Dipeptides,Organic compounds,Aliphatic acyclic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,NA,NA,Yes,Yes
X413.3032_3.09_1441,1441,413.3032,3.09,Lagochilin,0.712596,8,56.0392,156856,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X351.202_2.23_1444,1444,351.202,2.23,NA,NA,NA,NA,NA,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,Yes,NA,NA,Yes,NA,NA,Yes,Yes,Yes,NA,NA,NA,Yes,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,Yes,NA
X323.1596_2.29_1445,1445,323.1596,2.29,NA,NA,NA,NA,NA,No,Massbank:LU077002 3-Hydroxy-4-butyrophenetidide|Bucetin|N-(4-ethoxyphenyl)-3-hydroxybutanamide,First Analog,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Yes,Yes,NA,Yes,NA,NA,Yes,Yes,NA,Yes,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA
X330.5169_2.09_1459,1459,330.5169,2.09,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X700.8604_2.3_1460,1460,700.8604,2.3,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,Yes,NA,Yes,NA,NA,NA,NA,Yes,NA,Yes,NA,NA,NA,Yes,NA,Yes,NA,NA,Yes,NA,Yes,NA,Yes,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes
X623.3412_2.43_1468,1468,623.3412,2.43,NA,NA,NA,NA,NA,No,Spectral Match to Urobilin from NIST14,Third Analog,no matches,no matches,no matches,no matches,no matches,no matches,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes
X244.6573_2.1_1469,1469,244.6573,2.1,Spectral Match to Ile-Ile-Lys from NIST14,0.891416,8,301.163,307321,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,Yes,Yes,Yes,NA,NA,Yes,NA,Yes,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,NA,NA,Yes,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes
X261.1435_1.32_1470,1470,261.1435,1.32,Spectral Match to Ile-Glu from NIST14,0.730258,5,0.0045166,17.2952,No,Spectral Match to Ile-Glu from NIST14,First,Carboxylic acids and derivatives,Phenylalanine and derivatives,Organic compounds,Aromatic homomonocyclic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,Yes,Yes,NA,NA,Yes,Yes,NA,Yes,Yes,NA,NA,Yes,Yes
X342.2381_2.28_1472,1472,342.2381,2.28,Spectral Match to Ile-Pro-Ile from NIST14,0.973913,9,0.000915527,2.67511,No,Spectral Match to Ile-Pro-Ile from NIST14,First Analog,no matches,no matches,no matches,no matches,no matches,no matches,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,NA,NA,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,NA
X358.269_2.37_1474,1474,358.269,2.37,Spectral Match to Ile-Gly-Ile from NIST14,0.929507,8,56.062,185509,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA
X322.6897_2.16_1476,1476,322.6897,2.16,Spectral Match to Leu-Phe from NIST14,0.745113,6,365.202,155890,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X360.1937_2.33_1480,1480,360.1937,2.33,Spectral Match to Ile-Pro-Ile from NIST14,0.836608,8,17.9547,52462.4,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,NA,Yes,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA,Yes,NA,Yes,NA,Yes
X865.5445_2.83_1483,1483,865.5445,2.83,chenodeoxycholic acid,0.854923,17,79.9515,101772,Yes,Spectral Match to Deoxycholic acid from NIST14,First,Steroids and steroid derivatives,"Dihydroxy bile acids, alcohols and derivatives",Organic compounds,Aliphatic homopolycyclic compounds,"Bile acids, alcohols and derivatives",Lipids and lipid-like molecules,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA
X233.1489_0.58_1485,1485,233.1489,0.58,Spectral Match to Thr-Leu from NIST14,0.945049,8,0.000106812,0.458126,No,Spectral Match to Thr-Phe from NIST14,First,Carboxylic acids and derivatives,Dipeptides,Organic compounds,Aliphatic acyclic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,Yes,Yes
X189.1231_0.26_1488,1488,189.1231,0.26,NALPHA-ACETYL-L-LYSINE - 40.0 eV,0.748584,6,9.16E-05,0.484091,No,Spectral Match to Val-Ile-Lys from NIST14,First Analog,Carboxylic acids and derivatives,N-acyl-alpha amino acids,Organic compounds,Aliphatic acyclic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives,NA,NA,Yes,NA,Yes,NA,NA,Yes,NA,Yes,NA,Yes,NA,NA,Yes,Yes,NA,Yes,NA,NA,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA,Yes,Yes,Yes,NA,NA,Yes,Yes
X609.3248_2.58_1490,1490,609.3248,2.58,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,NA,NA,NA,Yes,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA
X339.1903_2.4_1493,1493,339.1903,2.4,NA,NA,NA,NA,NA,No,Massbank:LU077002 3-Hydroxy-4-butyrophenetidide|Bucetin|N-(4-ethoxyphenyl)-3-hydroxybutanamide,First Analog,no matches,no matches,no matches,no matches,no matches,no matches,Yes,NA,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,NA
X515.3474_2.36_1497,1497,515.3474,2.36,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X580.2965_2.31_1499,1499,580.2965,2.31,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,NA,Yes,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA
X482.359_2.92_1501,1501,482.359,2.92,Spectral Match to 1-Hexadecyl-sn-glycero-3-phosphocholine from NIST14,0.947139,6,0.000976562,2.02455,No,Spectral Match to 1-(1Z-Octadecenyl)-sn-glycero-3-phosphocholine from NIST14,First,Glycerophospholipids,1-(1Z-alkenyl)-glycero-3-phosphocholines,Organic compounds,Aliphatic acyclic compounds,Glycerophosphocholines,Lipids and lipid-like molecules,Yes,Yes,NA,NA,Yes,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,Yes,NA,Yes,NA,Yes,NA,NA,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,NA,NA,Yes
X307.1645_2.34_1503,1503,307.1645,2.34,Massbank:LU077002 3-Hydroxy-4-butyrophenetidide|Bucetin|N-(4-ethoxyphenyl)-3-hydroxybutanamide,0.753269,5,83.0365,370487,Yes,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,Yes,Yes,NA,Yes,NA,NA,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,NA,Yes,NA,Yes,Yes,Yes,NA,NA,NA,Yes,NA,NA,NA,NA,NA
X198.007_0.35_1504,1504,198.007,0.35,NA,NA,NA,NA,NA,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,NA,Yes
X895.5185_2.61_1505,1505,895.5185,2.61,NA,NA,NA,NA,NA,No,"""(R)-4-((3S,5S,7S,8R,9S,10S,12S,13R,14S,17R)-3,7,12-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",First Analog,Steroids and steroid derivatives,"Tetrahydroxy bile acids, alcohols and derivatives",Organic compounds,Aliphatic homopolycyclic compounds,"Bile acids, alcohols and derivatives",Lipids and lipid-like molecules,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA
X346.1967_2.19_1507,1507,346.1967,2.19,Spectral Match to Val-Gly-Val from NIST14,0.763193,7,72.0207,262680,Yes,Spectral Match to Val-Gly-Val from NIST14,First Analog,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes
X160.1077_0.33_1511,1511,160.1077,0.33,NALPHA-ACETYL-L-LYSINE - 40.0 eV,0.783844,5,29.0153,153420,Yes,possibly - gamma-Valerobetaine see jones Nat Metabolism 2021,First Analog,no matches,no matches,no matches,no matches,no matches,no matches,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA
X410.2631_2.54_1517,1517,410.2631,2.54,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA
X611.3405_2.54_1523,1523,611.3405,2.54,NA,NA,NA,NA,NA,No,NA,None,Tetrapyrroles and derivatives,Bilirubins,Organic compounds,Aromatic heteromonocyclic compounds,Bilirubins,Organoheterocyclic compounds,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,NA,NA,Yes,NA,Yes,NA,NA,NA,Yes,NA,Yes,NA,NA,Yes,NA,Yes,NA,Yes,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes
X898.5683_2.83_1524,1524,898.5683,2.83,Spectral Match to Cholic acid from NIST14,0.813113,16,80.9873,99057.2,Yes,Spectral Match to Cholic acid from NIST14,Second,Steroids and steroid derivatives,"Tetrahydroxy bile acids, alcohols and derivatives",Organic compounds,Aliphatic homopolycyclic compounds,"Bile acids, alcohols and derivatives",Lipids and lipid-like molecules,NA,NA,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA
X879.5238_2.84_1531,1531,879.5238,2.84,Spectral Match to Cholic acid from NIST14,0.735081,13,61.9428,75763.5,Yes,hyocholic acid,First Analog,Steroids and steroid derivatives,"Tetrahydroxy bile acids, alcohols and derivatives",Organic compounds,Aliphatic homopolycyclic compounds,"Bile acids, alcohols and derivatives",Lipids and lipid-like molecules,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA
X781.5569_2.56_1533,1533,781.5569,2.56,Spectral Match to Cholic acid from NIST14,0.818649,14,36.0241,44061.8,Yes,Spectral Match to Cholic acid from NIST14,Second,Steroids and steroid derivatives,"Tetrahydroxy bile acids, alcohols and derivatives",Organic compounds,Aliphatic homopolycyclic compounds,"Bile acids, alcohols and derivatives",Lipids and lipid-like molecules,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,Yes,NA,NA,Yes,NA,Yes,Yes
X374.2524_2.44_1534,1534,374.2524,2.44,Massbank:RP025103 Oleoyl-L-Carnitine|(3R)-3-[(Z)-octadec-9-enoyl]oxy-4-(trimethylazaniumyl)butanoate,0.808855,7,52.1056,122211,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,NA,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,Yes,Yes,NA,Yes,NA,Yes,NA,Yes,Yes,NA,Yes,Yes,NA,Yes
X185.9595_0.25_1537,1537,185.9595,0.25,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,NA,NA,NA,Yes,NA,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Yes,NA
X215.1385_0.44_1540,1540,215.1385,0.44,Spectral Match to Val-Pro from NIST14,0.871844,6,0.00050354,2.34053,No,Self-Loop,Self-Loop,Carboxylic acids and derivatives,Dipeptides,Organic compounds,Aliphatic heteromonocyclic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X164.0703_2.4_1542,1542,164.0703,2.4,"Spectral Match to Benzoic acid, 3-amino- from NIST14",0.916147,4,44.0253,366740,Yes,"(4S,5Z,6S)-4-(2-methoxy-2-oxoethyl)-5-[2-[(E)-3-phenylprop-2-enoyl]oxyethylidene]-6-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4H-pyran-3-carboxylic acid",First Analog,Pyridines and derivatives,Pyridinecarboxamides,Organic compounds,Aromatic heteromonocyclic compounds,Pyridinecarboxylic acids and derivatives,Organoheterocyclic compounds,NA,Yes,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA
X429.2701_2.18_1545,1545,429.2701,2.18,Spectral Match to Leu-Leu-Arg from NIST14,0.732998,8,27.9831,69733.4,Yes,Spectral Match to Leu-Leu-Arg from NIST14,First Analog,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X472.2429_2.45_1548,1548,472.2429,2.45,NA,NA,NA,NA,NA,No,NA,None,Tetrapyrroles and derivatives,Bilirubins,Organic compounds,Aromatic heteromonocyclic compounds,Bilirubins,Organoheterocyclic compounds,NA,NA,Yes,Yes,NA,Yes,NA,Yes,NA,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes
X415.2176_2.17_1551,1551,415.2176,2.17,NA,NA,NA,NA,NA,No,Spectral Match to PyroGlu-Pro-Lys from NIST14,First Analog,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,Yes,NA,NA,Yes,NA,Yes,NA,NA,Yes,Yes,NA,NA,Yes,Yes,Yes,NA,NA,Yes,Yes
X212.0524_0.33_1552,1552,212.0524,0.33,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,NA,NA,NA,NA,NA,Yes,Yes,NA,Yes,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,Yes,Yes,Yes,NA,NA,NA,Yes,NA,NA,Yes,NA,Yes,Yes
X297.1801_2.36_1557,1557,297.1801,2.36,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,NA,Yes,Yes,NA,NA,Yes,NA
X424.3035_2.62_1562,1562,424.3035,2.62,Spectral Match to Cholic acid from NIST14,0.751907,12,2.01752,4732.39,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,NA,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA,NA,Yes,Yes,Yes,NA,NA,Yes,Yes
X607.3105_2.51_1570,1570,607.3105,2.51,NA,NA,NA,NA,NA,No,NA,None,Tetrapyrroles and derivatives,Bilirubins,Organic compounds,Aromatic heteromonocyclic compounds,Bilirubins,Organoheterocyclic compounds,NA,NA,Yes,NA,Yes,NA,NA,NA,NA,NA,Yes,Yes,NA,Yes,NA,NA,Yes,Yes,NA,Yes,NA,Yes,NA,Yes,Yes,NA,Yes,NA,NA,Yes,Yes,Yes,Yes,NA,NA,Yes
X450.3189_2.63_1572,1572,450.3189,2.63,NA,NA,NA,NA,NA,No,CHOLIC ACID,First Analog,no matches,no matches,no matches,no matches,no matches,no matches,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes
X344.2779_3.01_1573,1573,344.2779,3.01,Spectral Match to N-Oleoylglycine from NIST14,0.904978,10,3.9939,11737,Yes,Commendamide,First,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Yes,Yes,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Yes,Yes,Yes,Yes,NA
X589.2995_2.54_1574,1574,589.2995,2.54,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,NA,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes
X565.3946_2.4_1579,1579,565.3946,2.4,Arg-bMCA,0.709206,21,0.00140381,2.48288,No,Arg-CA,First,Steroids and steroid derivatives,Glycinated bile acids and derivatives,Organic compounds,Aliphatic homopolycyclic compounds,"Bile acids, alcohols and derivatives",Lipids and lipid-like molecules,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA
X479.7639_2.09_1583,1583,479.7639,2.09,NA,NA,NA,NA,NA,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,Yes,NA,NA,NA,NA,Yes,NA,Yes,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,Yes,Yes
